name,type,type_id,n_dims,dims,offset,bytes
blk.41.post_attention_norm.weight,F32,0,1,5120,4946377856,20480
blk.41.ssm_a,F32,0,1,48,4946398336,192
blk.41.ssm_alpha.weight,BF16,30,2,5120x48,4946398528,491520
blk.41.ssm_beta.weight,BF16,30,2,5120x48,4946890048,491520
blk.41.ssm_conv1d.weight,F32,0,2,4x10240,4947381568,163840
blk.41.ssm_dt.bias,F32,0,1,48,4947545408,192
blk.41.ssm_norm.weight,F32,0,1,128,4947545600,512
blk.41.ssm_out.weight,PQ2_0,142,2,6144x5120,4947546112,
blk.42.attn_gate.weight,PQ2_0,142,2,5120x6144,4955901952,
blk.42.attn_norm.weight,F32,0,1,5120,4964257792,20480
blk.42.attn_qkv.weight,PQ2_0,142,2,5120x10240,4964278272,
blk.42.ffn_down.weight,PQ2_0,142,2,17408x5120,4978204672,
blk.42.ffn_gate.weight,PQ2_0,142,2,5120x17408,5001879552,
blk.42.ffn_up.weight,PQ2_0,142,2,5120x17408,5025554432,
blk.42.post_attention_norm.weight,F32,0,1,5120,5049229312,20480
blk.42.ssm_a,F32,0,1,48,5049249792,192
blk.42.ssm_alpha.weight,BF16,30,2,5120x48,5049249984,491520
blk.42.ssm_beta.weight,BF16,30,2,5120x48,5049741504,491520
blk.42.ssm_conv1d.weight,F32,0,2,4x10240,5050233024,163840
blk.42.ssm_dt.bias,F32,0,1,48,5050396864,192
blk.42.ssm_norm.weight,F32,0,1,128,5050397056,512
blk.42.ssm_out.weight,PQ2_0,142,2,6144x5120,5050397568,
blk.43.attn_k.weight,PQ2_0,142,2,5120x1024,5058753408,
blk.43.attn_k_norm.weight,F32,0,1,256,5060146048,1024
blk.43.attn_norm.weight,F32,0,1,5120,5060147072,20480
blk.43.attn_output.weight,PQ2_0,142,2,6144x5120,5060167552,
blk.43.attn_q.weight,PQ2_0,142,2,5120x12288,5068523392,
blk.43.attn_q_norm.weight,F32,0,1,256,5085235072,1024
blk.43.attn_v.weight,PQ2_0,142,2,5120x1024,5085236096,
blk.43.ffn_down.weight,PQ2_0,142,2,17408x5120,5086628736,
blk.43.ffn_gate.weight,PQ2_0,142,2,5120x17408,5110303616,
blk.43.ffn_up.weight,PQ2_0,142,2,5120x17408,5133978496,
blk.43.post_attention_norm.weight,F32,0,1,5120,5157653376,20480
blk.44.attn_gate.weight,PQ2_0,142,2,5120x6144,5157673856,
blk.44.attn_norm.weight,F32,0,1,5120,5166029696,20480
blk.44.attn_qkv.weight,PQ2_0,142,2,5120x10240,5166050176,
blk.44.ffn_down.weight,PQ2_0,142,2,17408x5120,5179976576,
blk.44.ffn_gate.weight,PQ2_0,142,2,5120x17408,5203651456,
blk.44.ffn_up.weight,PQ2_0,142,2,5120x17408,5227326336,
blk.44.post_attention_norm.weight,F32,0,1,5120,5251001216,20480
blk.44.ssm_a,F32,0,1,48,5251021696,192
blk.44.ssm_alpha.weight,BF16,30,2,5120x48,5251021888,491520
blk.44.ssm_beta.weight,BF16,30,2,5120x48,5251513408,491520
blk.44.ssm_conv1d.weight,F32,0,2,4x10240,5252004928,163840
blk.44.ssm_dt.bias,F32,0,1,48,5252168768,192
blk.44.ssm_norm.weight,F32,0,1,128,5252168960,512
blk.44.ssm_out.weight,PQ2_0,142,2,6144x5120,5252169472,
blk.45.attn_gate.weight,PQ2_0,142,2,5120x6144,5260525312,
blk.45.attn_norm.weight,F32,0,1,5120,5268881152,20480
blk.45.attn_qkv.weight,PQ2_0,142,2,5120x10240,5268901632,
blk.45.ffn_down.weight,PQ2_0,142,2,17408x5120,5282828032,
blk.45.ffn_gate.weight,PQ2_0,142,2,5120x17408,5306502912,
blk.45.ffn_up.weight,PQ2_0,142,2,5120x17408,5330177792,
blk.45.post_attention_norm.weight,F32,0,1,5120,5353852672,20480
blk.45.ssm_a,F32,0,1,48,5353873152,192
blk.45.ssm_alpha.weight,BF16,30,2,5120x48,5353873344,491520
